"GEOID_JOIN","STATE_NAME","COUNTRY_NAME","hh_targeted","hh_adopted","avg_adoption_prob","capital_retained","remittance_prevented","tax_credit_cost","yield_income","adoption_rate","net_govt_benefit","roi_ratio"
"1208102","Florida","Mexico",5,1,0.12,3020.0,4266.0,453.0,498.3,0.2,3813.0,6.67
"5541005","Wisconsin","Mexico",7,1,0.12,3000.0,4266.0,450.0,495.0,0.143,3816.0,6.67
"2500801","Massachusetts","Bangladesh",2,1,0.11,3000.0,8639.0,450.0,495.0,0.5,8189.0,6.67
"5310902","Washington","Mexico",22,2,0.11,3000.0,9322.0,450.0,495.0,0.091,8872.0,6.67
"3705401","North Carolina","India",1,1,0.13,3000.0,21476.0,450.0,495.0,1.0,21026.0,6.67
"0920602","Connecticut","Mexico",2,1,0.13,3000.0,10554.4,450.0,495.0,0.5,10104.4,6.67
"0607104","California","Mexico",5,1,0.12,3000.0,4266.0,450.0,495.0,0.2,3816.0,6.67
"0606511","California","Mexico",22,2,0.11,3000.0,19418.2,450.0,495.0,0.091,18968.2,6.67
"1703410","Illinois","Mexico",3,1,0.12,3000.0,4266.0,450.0,495.0,0.333,3816.0,6.67
"4802316","Texas","Mexico",26,4,0.11,3000.0,19908.0,450.0,495.0,0.154,19458.0,6.67
"5311802","Washington","Mexico",2,1,0.12,3000.0,4266.0,450.0,495.0,0.5,3816.0,6.67
"4802321","Texas","Mexico",14,1,0.11,3000.0,4266.0,450.0,495.0,0.071,3816.0,6.67
"3704300","North Carolina","Mexico",3,1,0.13,3000.0,4266.0,450.0,495.0,0.333,3816.0,6.67
